# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
574 15384.5 -413.007 0.0518138 2.56472
575 15383.8 -412.312 0.0518297 2.5646
576 15384.3 -412.857 0.0518167 2.56469
577 15386.6 -415.079 0.0517657 2.56508
578 15391.2 -419.672 0.0516658 2.56585
579 15398.1 -426.689 0.0515174 2.567
580 15406.5 -435.124 0.0513408 2.56839
581 15414.6 -443.316 0.0511692 2.56974
582 15420.9 -449.638 0.0510359 2.57079
583 15424.4 -453.109 0.0509608 2.57138
584 15425 -453.679 0.0509461 2.57148
585 15423.3 -451.893 0.0509819 2.57119
586 15419.9 -448.444 0.0510542 2.57062
587 15415.5 -444.036 0.0511487 2.56989
588 15410.9 -439.379 0.0512501 2.56913
589 15407.2 -435.667 0.0513358 2.56852
590 15405.2 -433.661 0.0513895 2.56818
591 15404.8 -433.385 0.0514111 2.56811
592 15405.1 -433.75 0.0514196 2.56816
593 15405.1 -433.703 0.0514351 2.56815
594 15404.1 -432.611 0.0514691 2.56799
595 15402.2 -430.669 0.0515193 2.56767
596 15399.8 -428.256 0.051577 2.56728
597 15397.7 -426.034 0.0516302 2.56692
598 15396 -424.358 0.0516713 2.56665
599 15394.9 -423.317 0.0516987 2.56646
600 15394.1 -422.469 0.0517192 2.56632
601 15393 -421.429 0.0517397 2.56614
602 15391.8 -420.164 0.0517598 2.56595
603 15391.3 -419.564 0.0517629 2.56586
604 15392.6 -420.861 0.0517262 2.56608
